agent,seed,n,message,decoded message,score
7,591469,60,SWW OUH7 09032023,PARTIAL: ,0.0
7,591469,60,GSW Y865 04252024,PARTIAL: ,0.0
7,591469,60,NUQ WEG0 10192024,PARTIAL: ,0.0
7,591469,60,SAR C6YX 02012023,PARTIAL: ,0.0
7,591469,60,AVL PBLR 11132023,FSM 67KM 09232023,0
7,591469,60,GRR V4Y4 04232024,CTH T1S5 08122023,0
7,591469,60,BFM XKV3 12122025,PVU GQ3L 08162024,0
7,591469,60,TOG WKSB 01122023,PARTIAL: ,0.0
7,591469,60,MSD HQJU 05242023,PARTIAL: ,0.0
7,591469,60,OWK K2L1 03092023,PARTIAL: ,0.0
7,591469,60,MKE XAWH 09142023,SEA PFIF 05162023,0
7,591469,60,SFR 08ZA 09262024,PARTIAL: ,0.0
7,591469,60,POB 8F7Y 12142024,PARTIAL: ,0.0
7,591469,60,SYN U8KR 09132023,PARTIAL: ,0.0
7,591469,60,CDC 509E 12162025,XNA S7IQ 12122025,0
7,591469,60,EHT H75C 09152024,PARTIAL: ,0.0
7,591469,60,MHV IS99 12022023,MOT LXDG 02102024,0
7,591469,60,MDH UCIA 02022023,AUN SJQ3 06172024,0
7,591469,60,MOT 9RJZ 06082025,JAC QZCE 10172023,0
7,591469,60,HTW X91I 10082023,PARTIAL: ,0.0
7,591469,60,CRW SVY9 04012025,MCE 9VDC 09232025,0
7,591469,60,DHT S79L 02272024,HWD I4KA 08282024,0
7,591469,60,DTW MXWL 11092024,BWI O24Z 02202025,0
7,591469,60,SBP 6MYE 01122025,BTV V0JV 11262025,0
7,591469,60,MVC 5X2J 02262025,PARTIAL: ,0.0
7,591469,60,BCS 131K 05112024,PARTIAL: ,0.0
7,591469,60,MCW YX7E 10242023,PUW 98M2 03082025,0
7,591469,60,PIA V62A 08092024,HIO TOTS 10162023,0
7,591469,60,SCH AYQV 03072024,BLD REM0 08012025,0
7,591469,60,DCK YC1J 02132023,PARTIAL: ,0.0
7,591469,60,SPA FVQW 06212025,GRM ZJBT 01032025,0
7,591469,60,TOP 99OT 09212025,HTO MOZO 11082023,0
7,591469,60,RXE 7CSG 01042024,PARTIAL: ,0.0
7,591469,60,SSW 7XJZ 04262025,PARTIAL: ,0.0
7,591469,60,MPO N0LM 07132024,PARTIAL: ,0.0
7,591469,60,SEP CLWK 02192024,STC SOL9 10072023,0
7,591469,60,GAG MA0V 10232025,PARTIAL: ,0.0
7,591469,60,DVN 1F2S 04102024,DBQ LY7U 02192024,0
7,591469,60,BAD ZPAK 12212025,PARTIAL: ,0.0
7,591469,60,SYB N3DT 10222025,SYB N3DU 05182024,0
7,591469,60,ASE W0O5 12172023,BHB MM4W 07152025,0
7,591469,60,BNL SGY7 10232025,PARTIAL: ,0.0
7,591469,60,LLX ICNU 06162025,PARTIAL: ,0.0
7,591469,60,MHL 1TB8 05172025,PARTIAL: ,0.0
7,591469,60,PDX 7ANA 03272024,PDX 710W 11012025,0
7,591469,60,GVL HJM0 07282025,HTH 68NP 09262024,0
7,591469,60,XWA 28VM 08122024,PARTIAL: ,0.0
7,591469,60,YUM QVUX 07082024,ENW Z79W 07282024,0
7,591469,60,RMY 372Z 11152024,BFL JY34 05222025,0
7,591469,60,SRU 8Y0R 12022023,PARTIAL: ,0.0
7,591469,60,NTD 41TQ 03022025,PWY EQ1P 05242023,0
7,591469,60,SLO RVHO 05172024,PARTIAL: ,0.0
7,591469,60,CKX 975E 05232023,PARTIAL: ,0.0
7,591469,60,NLC K3KE 04222025,RIL KHGD 04252023,0
7,591469,60,ABL 2R0K 08062024,PARTIAL: ,0.0
7,591469,60,HAR 6I2U 03252024,PARTIAL: ,0.0
7,591469,60,BCS WQXQ 10132025,PARTIAL: ,0.0
7,591469,60,TIK EHQ0 12232025,PARTIAL: ,0.0
7,591469,60,BZF BFOZ 01062023,PARTIAL: ,0.0
7,591469,60,RIE JOQD 10072023,RIE JCPO 10152023,0
7,591469,60,ILG NXVN 02072024,NHZ 7AJD 01052024,0
7,591469,60,SIT 4TXK 03112024,PUW BC0D 04182023,0
7,591469,60,ATO 558H 02272024,PARTIAL: ,0.0
7,591469,60,HYR 92QF 08232023,PARTIAL: ,0.0
7,591469,60,CMY I1XS 06152024,PARTIAL: ,0.0
7,591469,60,RSH SWUU 08022024,PARTIAL: ,0.0
7,591469,60,FIL Y0JA 02282024,PARTIAL: ,0.0
7,591469,60,SME NFFV 05202025,PARTIAL: ,0.0
7,591469,60,CAD ZOYC 03232024,PARTIAL: ,0.0
7,591469,60,OFF EZVM 01202025,PARTIAL: ,0.0
7,591469,60,TDZ AYUK 09282024,PARTIAL: ,0.0
7,591469,60,OMA EAJD 09072025,FNL EMKO 10142023,0
7,591469,60,LOU R078 11272025,GCK MPZ2 05242024,0
7,591469,60,LCQ CKTL 12272023,BMC WVCG 05052023,0
7,591469,60,MTW LFT5 09272025,PARTIAL: ,0.0
7,591469,60,PRX QKNI 09232025,SDM 0C2N 02062025,0
7,591469,60,BUM MXVY 10112024,HOB N329 02032023,0
7,591469,60,VBG FFAB 08182025,PARTIAL: ,0.0
7,591469,60,BEC GFJC 03232024,PARTIAL: ,0.0
7,591469,60,PUL I17N 12092025,PARTIAL: ,0.0
7,591469,60,CPM OMT3 10102024,BZN VC73 01012025,0
7,591469,60,GDC R4BJ 05222024,PARTIAL: ,0.0
7,591469,60,BIH 8U73 01092025,MFH U2RF 08212025,0
7,591469,60,MHL TF9M 03102025,PARTIAL: ,0.0
7,591469,60,SIV HH2R 04092024,PARTIAL: ,0.0
7,591469,60,PIZ KDVY 04262023,PARTIAL: ,0.0
7,591469,60,CLR F3MD 07112025,PARTIAL: ,0.0
7,591469,60,SUM EE71 01252024,PARTIAL: ,0.0
7,591469,60,PTW 8DLG 09072024,MCK QD18 07152023,0
7,591469,60,SVW QZWH 07162023,PARTIAL: ,0.0
7,591469,60,JVL 79UA 02072025,MTJ 28KB 11052025,0
7,591469,60,HKY LCDT 01282025,GTF O1OH 08062023,0
7,591469,60,CNO K10G 12192023,GXY FZJJ 09212024,0
7,591469,60,SDF 0XUW 03192024,LGU PQHT 10232024,0
7,591469,60,BFK Q3XJ 12172024,PARTIAL: ,0.0
7,591469,60,NTD P647 09252023,MVC B278 07222024,0
7,591469,60,HCA ZKFV 01052025,PARTIAL: ,0.0
7,591469,60,LQK TGY7 03092025,PARTIAL: ,0.0
7,591469,60,RCR TPQY 08282024,PARTIAL: ,0.0
7,591469,60,RWF X4J3 06082025,PARTIAL: ,0.0
